"","X","has_preview_condition","reread_condition","linear","p_val","surp_column","model_id","model_family","model_size","model_size_milions","model_name_with_size","ppl"
"124",4,"Hunting",1,"nonlinear",0.046,"meta-llama-Llama-2-7b-hf-Surprisal-Context-P","meta-llama-Llama-2-7b-hf","Llama-2","7B",7000,"7B Llama-2",9.04788398742676
"125",1,"Gathering",0,"nonlinear",0,"mistralai-Mistral-7B-Instruct-v0.3-Surprisal-Context-P","mistralai-Mistral-7B-Instruct-v0.3","Mistral","7B",7000,"7B Mistral Instruct v0.3",9.89950561523438
"126",2,"Gathering",1,"nonlinear",0.002,"mistralai-Mistral-7B-Instruct-v0.3-Surprisal-Context-P","mistralai-Mistral-7B-Instruct-v0.3","Mistral","7B",7000,"7B Mistral Instruct v0.3",9.89950561523438
"127",3,"Hunting",0,"nonlinear",0,"mistralai-Mistral-7B-Instruct-v0.3-Surprisal-Context-P","mistralai-Mistral-7B-Instruct-v0.3","Mistral","7B",7000,"7B Mistral Instruct v0.3",9.89950561523438
"128",4,"Hunting",1,"nonlinear",0.102,"mistralai-Mistral-7B-Instruct-v0.3-Surprisal-Context-P","mistralai-Mistral-7B-Instruct-v0.3","Mistral","7B",7000,"7B Mistral Instruct v0.3",9.89950561523438
"129",1,"Gathering",0,"nonlinear",0.002,"mistralai-Mistral-7B-v0.1-Surprisal-Context-P","mistralai-Mistral-7B-v0.1","Mistral","7B",7000,"7B Mistral v0.1",9.21091938018799
"130",2,"Gathering",1,"nonlinear",0.039,"mistralai-Mistral-7B-v0.1-Surprisal-Context-P","mistralai-Mistral-7B-v0.1","Mistral","7B",7000,"7B Mistral v0.1",9.21091938018799
"131",3,"Hunting",0,"nonlinear",0,"mistralai-Mistral-7B-v0.1-Surprisal-Context-P","mistralai-Mistral-7B-v0.1","Mistral","7B",7000,"7B Mistral v0.1",9.21091938018799
"132",4,"Hunting",1,"nonlinear",0.02,"mistralai-Mistral-7B-v0.1-Surprisal-Context-P","mistralai-Mistral-7B-v0.1","Mistral","7B",7000,"7B Mistral v0.1",9.21091938018799
"133",1,"Gathering",0,"nonlinear",0.001,"mistralai-Mistral-7B-v0.3-Surprisal-Context-P","mistralai-Mistral-7B-v0.3","Mistral","7B",7000,"7B Mistral v0.3",9.30939769744873
"134",2,"Gathering",1,"nonlinear",0.082,"mistralai-Mistral-7B-v0.3-Surprisal-Context-P","mistralai-Mistral-7B-v0.3","Mistral","7B",7000,"7B Mistral v0.3",9.30939769744873
"135",3,"Hunting",0,"nonlinear",0,"mistralai-Mistral-7B-v0.3-Surprisal-Context-P","mistralai-Mistral-7B-v0.3","Mistral","7B",7000,"7B Mistral v0.3",9.30939769744873
"136",4,"Hunting",1,"nonlinear",0.025,"mistralai-Mistral-7B-v0.3-Surprisal-Context-P","mistralai-Mistral-7B-v0.3","Mistral","7B",7000,"7B Mistral v0.3",9.30939769744873
